Address,Time,Current Speed,FreeFlow Speed,Jam Factor,Confidence
Kondoji Basappa Road/Lal Bagh Road/Lalbagh Fort Road,2019-10-26T02:48:06Z,10.0,19.0,4.22556,0.7
Kondoji Basappa Road/Lal Bagh Road/Lalbagh Fort Road,2019-10-26T02:48:06Z,37.0,40.0,0.0,0.7
Albert Victor Road/Av Road/Sri Jayachamaraja Odeiar Road,2019-10-26T02:48:06Z,30.0,36.0,1.11111,0.7
3rd Cross Road,2019-10-26T02:48:06Z,7.0,10.0,0.0,0.7
4th Main Road,2019-10-26T02:48:06Z,7.0,11.0,1.21212,0.7
4th Main Road,2019-10-26T02:48:06Z,10.0,10.0,0.0,0.7
3rd Cross Road,2019-10-26T02:48:06Z,8.0,12.0,1.11111,0.7
5th Main Road,2019-10-26T02:48:06Z,15.0,30.0,5.42857,0.7
Vanivilas Road,2019-10-26T02:48:06Z,9.0,19.0,4.97744,0.7
Vanivilas Road,2019-10-26T02:48:06Z,7.0,12.0,2.22222,0.7
5th Main Road,2019-10-26T02:48:06Z,12.0,20.0,3.33333,0.7
A. V. Road/Albert Victor Road,2019-10-26T02:48:06Z,15.0,28.0,4.81632,0.7
8th Main Road,2019-10-26T02:47:45Z,8.0,14.0,2.85714,0.7
Ramanjaya Road,2019-10-26T02:47:45Z,9.0,17.0,3.92156,0.7
4th Cross Road,2019-10-26T02:47:45Z,8.0,17.0,4.7563,0.7
50 Feet Road,2019-10-26T02:47:45Z,9.0,15.0,2.66666,0.7
50 Feet Road,2019-10-26T02:47:28Z,7.0,11.0,1.21212,0.7
4th Cross Road,2019-10-26T02:47:28Z,8.0,13.0,2.05128,0.7
Ramanjaya Road,2019-10-26T02:47:28Z,7.0,13.0,3.07692,0.7
8th Main Road,2019-10-26T02:47:28Z,8.0,15.0,3.55555,0.7
Mysore Road,2019-10-26T02:47:28Z,10.0,16.0,2.5,0.7
Sri Krishna Rajendra Road/K R Road,2019-10-26T02:48:06Z,12.0,25.0,5.42857,0.7
Pampa Mahakavi Road,2019-10-26T02:48:06Z,9.0,20.0,5.42857,0.7
3rd Main Road,2019-10-26T02:48:06Z,9.0,20.0,5.42857,0.7
8th Main Road/9th Cross Road,2019-10-26T02:48:06Z,9.0,20.0,5.42857,0.7
8th Main Road/9th Cross Road,2019-10-26T02:48:06Z,7.0,11.0,1.21212,0.7
3rd Main Road,2019-10-26T02:48:06Z,9.0,20.0,5.42857,0.7
Pampa Mahakavi Road,2019-10-26T02:48:06Z,10.0,20.0,4.71428,0.7
Sri Krishna Rajendra Road/K R Road,2019-10-26T02:48:06Z,7.0,22.0,7.50649,0.7
Bull Temple Road,2019-10-26T02:48:06Z,10.0,19.0,4.22556,0.7
Pipeline Road/3rd Main Road,2019-10-26T02:48:06Z,8.0,12.0,1.11111,0.7
13th Main Road,2019-10-26T02:48:06Z,8.0,14.0,2.85714,0.7
13th Main Road,2019-10-26T02:48:06Z,18.0,45.0,7.33333,0.7
Pipeline Road/3rd Main Road,2019-10-26T02:48:06Z,7.0,14.0,3.80952,0.7
Bull Temple Road,2019-10-26T02:48:06Z,7.0,15.0,4.47619,0.7
Lal Bagh Road/Diagonal Road/Minarva Circle,2019-10-26T02:47:54Z,7.0,29.0,8.38673,0.7
Basavangudi,2019-10-26T02:47:54Z,12.0,22.0,4.25974,0.7
Kankanpalya Road,2019-10-26T02:47:54Z,11.0,31.0,7.54838,0.7
Sriniwasa Rao Road/4th Main Road/Elephant Rock Road,2019-10-26T02:47:54Z,17.0,29.0,4.14778,0.7
Sriniwasa Rao Road/4th Main Road/Elephant Rock Road,2019-10-26T02:47:40Z,19.0,36.0,5.26984,0.7
Kankanpalya Road,2019-10-26T02:47:40Z,15.0,30.0,5.42857,0.7
Basavangudi,2019-10-26T02:47:40Z,15.0,31.0,5.70506,0.7
Lal Bagh Road/Diagonal Road/Minarva Circle,2019-10-26T02:47:40Z,18.0,33.0,4.90909,0.7
Kondoji Basappa Road/Lal Bagh Road/Lalbagh Fort Road,2019-10-26T02:48:06Z,12.0,30.0,6.85714,0.7
S Sajjan Rao Circle,2019-10-26T02:48:06Z,12.0,19.0,2.80701,0.7
S Sajjan Rao Circle,2019-10-26T02:48:06Z,14.0,24.0,3.88888,0.7
Kondoji Basappa Road/Lal Bagh Road/Lalbagh Fort Road,2019-10-26T02:48:06Z,11.0,22.0,4.90909,0.7
South Cross Road,2019-10-26T02:47:39Z,7.0,19.0,6.4812,0.7
K R Road/Sri Krishna Rajendra Road,2019-10-26T02:47:39Z,7.0,18.0,6.06349,0.7
Nagasandra Main Road,2019-10-26T02:47:39Z,8.0,23.0,7.1677,0.7
Nagasandra Main Road,2019-10-26T02:47:21Z,14.0,24.0,3.88888,0.7
K R Road/Sri Krishna Rajendra Road,2019-10-26T02:47:21Z,10.0,23.0,5.92546,0.7
South Cross Road,2019-10-26T02:47:21Z,7.0,21.0,7.19727,0.7
Kondoji Basappa Road/Shiva Shankar Circle/Puttanna Chetty Road,2019-10-26T02:47:57Z,9.0,19.0,4.97744,0.7
